Name,Brands,Price,Slashed_price,Discount_Price_Amount,Review,Reviews,Review_count,Discount,Discount_Percentage
beatXP Flare Pro 1.39 HD Display Bluetooth,beatXP,899,"₹5,499₹5,499","5,499",3.7 out of 5 stars,3.7,"5,149","₹899₹899 M.R.P: ₹5,499₹5,499 (84% off)",(84% off)
Noise Halo Plus 1.46,Noise,"2,799","₹8,999₹8,999","8,999",4.2 out of 5 stars,4.2,"14,611","₹2,799₹2,799 M.R.P: ₹8,999₹8,999 (69% off)",(69% off)
Noise Quad Call 1.81,Noise,"1,499","₹6,999₹6,999","6,999",4.0 out of 5 stars,4,"120,377","₹1,499₹1,499 M.R.P: ₹6,999₹6,999 (79% off)",(79% off)
boAt Wave Lite Smartwatch w,boAt,799,"₹6,999₹6,999","6,999",3.9 out of 5 stars,3.9,"71,006","₹799₹799 M.R.P: ₹6,999₹6,999 (89% off)",(89% off)
Noise Pulse Go Buzz Smart Watch with Advan,Noise,"1,099","₹4,999₹4,999","4,999",4.1 out of 5 stars,4.1,"40,905","₹1,099₹1,099 M.R.P: ₹4,999₹4,999 (78% off)",(78% off)
Fire-Boltt Ninja Call Pro Max 51.05mm,Fire-Boltt,"1,099","₹14,999₹14,999","14,999",4.1 out of 5 stars,4.1,"79,260","₹1,099₹1,099 M.R.P: ₹14,999₹14,999 (93% off)",(93% off)
Noise Canvas Smart Watch with 1.96,Noise,"1,599","₹7,999₹7,999","7,999",3.1 out of 5 stars,3.1,16,"₹1,599₹1,599 M.R.P: ₹7,999₹7,999 (80% off)",(80% off)
Noise Halo Plus 1.46,Noise,"2,799","₹8,999₹8,999","8,999",4.2 out of 5 stars,4.2,"14,611","₹2,799₹2,799 M.R.P: ₹8,999₹8,999 (69% off)",(69% off)
Fire-Boltt Snapp Smart Watch,Fire-Boltt,"5,499","₹24,999₹24,999","24,999",3.7 out of 5 stars,3.7,"2,534","₹5,499₹5,499 M.R.P: ₹24,999₹24,999 (78% off)",(78% off)
Noise Diva Smartwatch with Diamond Cut dia,Noise,"2,999","₹5,999₹5,999","5,999",4.3 out of 5 stars,4.3,"3,931","₹2,999₹2,999 M.R.P: ₹5,999₹5,999 (50% off)",(50% off)
Fire-Boltt Ninja Call Pro Plus 46.48mm,Fire-Boltt,999,"₹19,999₹19,999","19,999",4.1 out of 5 stars,4.1,"79,260","₹999₹999 M.R.P: ₹19,999₹19,999 (95% off)",(95% off)
Fire-Boltt Phoenix Smart Watch with Blueto,Fire-Boltt,"1,199","₹9,999₹9,999","9,999",4.1 out of 5 stars,4.1,"79,058","₹1,199₹1,199 M.R.P: ₹9,999₹9,999 (88% off)",(88% off)
Fire-Boltt Phoenix Ultra Luxury Stainless,Fire-Boltt,"1,499","₹12,499₹12,499","12,499",4.1 out of 5 stars,4.1,"79,058","₹1,499₹1,499 M.R.P: ₹12,499₹12,499 (88% off)",(88% off)
M I D116 Fitness Band Smart Watch for Men,M,449,"₹2,999₹2,999","2,999",4.1 out of 5 stars,4.1,134,"₹449₹449 M.R.P: ₹2,999₹2,999 (85% off)",(85% off)
Fire-Boltt Sphere,Fire-Boltt,"1,499","₹19,999₹19,999","19,999",4.3 out of 5 stars,4.3,145,"₹1,499₹1,499 M.R.P: ₹19,999₹19,999 (93% off)",(93% off)
Fastrack Astor FR2 Pro Smartwatch with 1.4,Fastrack,"2,999","₹5,499₹5,499","5,499",4.0 out of 5 stars,4,"6,453","₹2,999₹2,999 M.R.P: ₹5,499₹5,499 (45% off)",(45% off)
boAt Lunar Orb w,boAt,"1,699","₹9,299₹9,299","9,299",3.9 out of 5 stars,3.9,"36,964","₹1,699₹1,699 M.R.P: ₹9,299₹9,299 (82% off)",(82% off)
Noise Twist Bluetooth Calling Smart Watch,Noise,"1,299","₹4,999₹4,999","4,999",4.1 out of 5 stars,4.1,"26,412","₹1,299₹1,299 M.R.P: ₹4,999₹4,999 (74% off)",(74% off)
Fire-Boltt 4G Pro Volte Calling Smart Watc,Fire-Boltt,"1,799","₹19,999₹19,999","19,999",3.1 out of 5 stars,3.1,"1,847","₹1,799₹1,799 M.R.P: ₹19,999₹19,999 (91% off)",(91% off)
Fire-Boltt Phoenix Smart Watch with Blueto,Fire-Boltt,"1,199","₹9,999₹9,999","9,999",4.1 out of 5 stars,4.1,"79,058","₹1,199₹1,199 M.R.P: ₹9,999₹9,999 (88% off)",(88% off)
Noise Pulse 4 Max Smart Watch with AI Crea,Noise,"2,199","₹6,999₹6,999","6,999",4.1 out of 5 stars,4.1,"40,905","₹2,199₹2,199 M.R.P: ₹6,999₹6,999 (69% off)",(69% off)
Fastrack Limitless Glide Advanced UltraVU,Fastrack,"1,199","₹2,799₹2,799","2,799",3.9 out of 5 stars,3.9,"2,450","₹1,199₹1,199 M.R.P: ₹2,799₹2,799 (57% off)",(57% off)
boAt Ultima Regal Smart Watch w,boAt,"2,599","₹9,999₹9,999","9,999",4.0 out of 5 stars,4,"7,035","₹2,599₹2,599 M.R.P: ₹9,999₹9,999 (74% off)",(74% off)
Noise Pulse 2 Max 1.85,Noise,"1,199","₹5,999₹5,999","5,999",4.1 out of 5 stars,4.1,"40,905","₹1,199₹1,199 M.R.P: ₹5,999₹5,999 (80% off)",(80% off)
Fire-Boltt Snapp Smart Watch,Fire-Boltt,"5,999","₹24,999₹24,999","24,999",3.7 out of 5 stars,3.7,"2,534","₹5,999₹5,999 M.R.P: ₹24,999₹24,999 (76% off)",(76% off)
OnePlus Watch 2R with Wear OS 4 by Google,OnePlus,"14,999","₹19,999₹19,999","19,999",4.3 out of 5 stars,4.3,93,"₹14,999₹14,999 M.R.P: ₹19,999₹19,999 (25% off)",(25% off)
Fire-Boltt Maverick Smartwatch 51.308mm,Fire-Boltt,"1,999","₹21,000₹21,000","21,000",4.0 out of 5 stars,4,218,"₹1,999₹1,999 M.R.P: ₹21,000₹21,000 (90% off)",(90% off)
Fastrack New Astor Fs1 Pro Smartwatch,Fastrack,"1,899","₹4,999₹4,999","4,999",4.0 out of 5 stars,4,"6,453","₹1,899₹1,899 M.R.P: ₹4,999₹4,999 (62% off)",(62% off)
Noise Pulse 4 Max Smart Watch with AI Crea,Noise,"2,199","₹6,999₹6,999","6,999",4.1 out of 5 stars,4.1,"40,905","₹2,199₹2,199 M.R.P: ₹6,999₹6,999 (69% off)",(69% off)
Fire-Boltt Supernova- 45.2mm AMOLED Displa,Fire-Boltt,"1,599","₹18,999₹18,999","18,999",4.2 out of 5 stars,4.2,222,"₹1,599₹1,599 M.R.P: ₹18,999₹18,999 (92% off)",(92% off)
Titan Zeal Premium Fashion Smartwatch,Titan,"5,999","₹13,995₹13,995","13,995",3.8 out of 5 stars,3.8,"1,386","₹5,999₹5,999 M.R.P: ₹13,995₹13,995 (57% off)",(57% off)
boAt Wave Style Smart Watch w,boAt,799,"₹5,990₹5,990","5,990",3.9 out of 5 stars,3.9,"12,457","₹799₹799 M.R.P: ₹5,990₹5,990 (87% off)",(87% off)
Titan Celestor Smartwatch with 1.43” AMO,Titan,"9,989",0,0,3.8 out of 5 stars,3.8,"1,386","₹9,989₹9,989","(₹9,989₹9,989"
Fire-Boltt Diamond Luxury Stainless Steel,Fire-Boltt,"2,499","₹21,000₹21,000","21,000",4.1 out of 5 stars,4.1,"8,881","₹2,499₹2,499 M.R.P: ₹21,000₹21,000 (88% off)",(88% off)
Amazfit Band 7 Activity Fitness Tracker,Amazfit,"3,999","₹4,999₹4,999","4,999",4.1 out of 5 stars,4.1,"2,265","₹3,999₹3,999 M.R.P: ₹4,999₹4,999 (20% off)",(20% off)
boAt Storm Call 3 w,boAt,"1,099","₹8,999₹8,999","8,999",4.2 out of 5 stars,4.2,"31,614","₹1,099₹1,099 M.R.P: ₹8,999₹8,999 (88% off)",(88% off)
Noise Twist Round dial Smart Watch with Bl,Noise,"1,299","₹4,999₹4,999","4,999",4.1 out of 5 stars,4.1,"26,412","₹1,299₹1,299 M.R.P: ₹4,999₹4,999 (74% off)",(74% off)
Noise Twist Go Round dial Smartwatch with,Noise,"1,599","₹5,999₹5,999","5,999",4.1 out of 5 stars,4.1,"26,412","₹1,599₹1,599 M.R.P: ₹5,999₹5,999 (73% off)",(73% off)
Fire-Boltt Ninja Call Pro Smart Watch Dual,Fire-Boltt,999,"₹17,999₹17,999","17,999",4.1 out of 5 stars,4.1,"79,260","₹999₹999 M.R.P: ₹17,999₹17,999 (94% off)",(94% off)
Fire-Boltt Moonwatch 36.3mm,Fire-Boltt,"2,199","₹21,000₹21,000","21,000",4.2 out of 5 stars,4.2,"1,519","₹2,199₹2,199 M.R.P: ₹21,000₹21,000 (90% off)",(90% off)
Fire-Boltt Jewel,Fire-Boltt,"2,499","₹11,999₹11,999","11,999",3.9 out of 5 stars,3.9,"1,954","₹2,499₹2,499 M.R.P: ₹11,999₹11,999 (79% off)",(79% off)
Fire-Boltt Onyx- 36.3mm AMOLED Always On D,Fire-Boltt,"2,299","₹21,000₹21,000","21,000",4.3 out of 5 stars,4.3,271,"₹2,299₹2,299 M.R.P: ₹21,000₹21,000 (89% off)",(89% off)
Fire-Boltt Ninja Call Pro Max 51.05mm,Fire-Boltt,"1,099","₹14,999₹14,999","14,999",4.1 out of 5 stars,4.1,"79,260","₹1,099₹1,099 M.R.P: ₹14,999₹14,999 (93% off)",(93% off)
